position,track_index,track_id,track_name,artists,track_genre,EV_score,tempo,camelot,energy,valence,key,mode,time_signature,loudness,acousticness,instrumentalness,liveness,speechiness
162,250,64r6z0P3RnhpTGdkA7p5Os,Ek Tarfa,Darshan Raval,pop,0.4404794111962701,79.948,7A,0.615,0.33,2,0,4,-6.006,0.547,0.0,0.139,0.0328
163,243,5rLVwM5DvEWm1mFyUU32y4,Born To Die,Lana Del Rey,pop,0.37085686628482045,77.797,9A,0.636,0.394,4,0,4,-6.591,0.211,0.000118,0.217,0.0418
164,182,4RULn5FlCuqIFSreEVp2Lb,Street Style,JERRY,pop,0.5063544549559011,81.335,10A,0.743,0.445,11,0,4,-6.107,0.07,0.0,0.107,0.282
165,122,3EqgnmFJIarfSqSdBWMI8r,Qismat,Ammy Virk,pop,0.5644675733801593,87.726,10A,0.744,0.736,11,0,4,-5.105,0.498,0.0,0.381,0.132
166,130,6IWZKBeAkeCzaYNE8SmedK,"Meri Zindagi Hai Tu (From ""Satyameva Jayate 2"")",Rochak Kohli;Jubin Nautiyal;Neeti Mohan,pop,0.6434034492097517,96.025,11A,0.86,0.585,6,0,4,-4.07,0.38,0.000547,0.147,0.0359
167,67,1ZaeaGLhFSckG8sv1y7AWk,Kya Baat Ay,Harrdy Sandhu,pop,0.6440455864714462,89.966,11A,0.592,0.652,6,0,4,-4.309,0.632,2.39e-06,0.108,0.102
168,15,6IaHIJYxIG8xbosaRr25AC,Parshawan,Harnoor,pop,0.5138310826306166,90.006,12A,0.44,0.43,1,0,4,-7.422,0.559,0.0,0.105,0.061
169,217,1iZLpuGMr4tn1F5bZu32Kb,Bijlee Bijlee,Harrdy Sandhu,pop,0.6474607901072339,100.004,12A,0.67,0.643,1,0,4,-5.313,0.269,0.0,0.0733,0.143
170,134,7d4ZrG3Cer7jbqIl6wOI6D,GODSPEED,Tyson Sidhu,pop,0.6976052452536522,100.012,3B,0.673,0.759,1,1,4,-5.576,0.309,0.0,0.174,0.138
171,99,5mNOfozRJBZGnq4gO4rwM2,Bamb Agya,Gur Sidhu;Jasmine Sandlas;Kaptaan,pop,0.6377112606266201,93.012,3B,0.709,0.499,1,1,4,-3.937,0.0235,0.0,0.0834,0.0408
172,133,5fXslGZPI5Cco6PKHzlSL3,"Illegal Weapon 2.0 (From ""Street Dancer 3D"")",Jasmine Sandlas;Garry Sandhu;Tanishk Bagchi;Intense,pop,0.7095419943573835,94.993,3B,0.919,0.494,1,1,4,-1.294,0.101,0.00343,0.0598,0.0938
173,83,6G699QfN1BWYWXfiblH51F,"Kusu Kusu (From ""Satyameva Jayate 2"")",Tanishk Bagchi;Zahrah S Khan;Dev Negi,pop,0.7446090375878847,101.0,4B,0.911,0.78,8,1,4,-2.812,0.0137,0.00081,0.0593,0.0572
174,280,3HoQtJWvaadVDZPgQevKIh,Take My Breath - Single Version,The Weeknd,pop,0.6441735435854958,120.996,4B,0.739,0.523,8,1,4,-6.008,0.0106,2.22e-05,0.101,0.0487
